id,original_language,original_title,overview,release_date,vote_average,director,genres,keywords,final,clean
1452,en,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",2006-06-28,5.4,Bryan Singer,Adventure Fantasy Action Science Fiction,saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor,saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor Adventure Fantasy Action Science Fiction Bryan Singer,  save the world dc comic invulner sequel superhero base on comic book kryptonit super power superhuman strength lex luthor adventur fantasi action scienc fiction bryan singer
10764,en,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",2008-10-30,6.1,Marc Forster,Adventure Action Thriller Crime,killing undercover secret agent british secret service,killing undercover secret agent british secret service Adventure Action Thriller Crime Marc Forster,  kill undercov secret agent british secret servic adventur action thriller crime marc forster
58,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",2006-06-20,7.0,Gore Verbinski,Adventure Fantasy Action,witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger,witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger Adventure Fantasy Action Gore Verbinski,  witch fortun teller bondag exot island monster captain card game east india trade compani compass ship daughter pirat swashbuckl aftercreditssting adventur fantasi action gore verbinski
57201,en,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",2013-07-03,5.9,Gore Verbinski,Action Adventure Western,texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto,texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto Action Adventure Western Gore Verbinski,  texa hors survivor texa ranger partner outlaw escap lawyer train lone ranger comanch the lone ranger tonto action adventur western gore verbinski
49521,en,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",2013-06-12,6.5,Zack Snyder,Action Adventure Fantasy Science Fiction,saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe,saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe Action Adventure Fantasy Science Fiction Zack Snyder,  save the world dc comic superhero base on comic book superhuman alien invas reboot super power dc extend univers action adventur fantasi scienc fiction zack snyder
2454,en,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",2008-05-15,6.3,Andrew Adamson,Adventure Family Fantasy,based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world,based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world Adventure Family Fantasy Andrew Adamson,  base on novel fiction place brother sister relationship lion human be wretch leap in time matter of life and death faith uncl narnia fantasi world adventur famili fantasi andrew adamson
24428,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012-04-25,7.4,Joss Whedon,Science Fiction Action Adventure,new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe,new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe Science Fiction Action Adventure Joss Whedon,  new york shield marvel comic superhero base on comic book alien invas superhero team aftercreditssting duringcreditssting marvel cinemat univers scienc fiction action adventur joss whedon
1865,en,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",2011-05-14,6.4,Rob Marshall,Adventure Action Fantasy,sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d,sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d Adventure Action Fantasy Rob Marshall,  sea captain mutini sword prime minist sail silver ship duke mermaid pirat soldier battl swashbuckl aftercreditssting adventur action fantasi rob marshal
41154,en,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",2012-05-23,6.2,Barry Sonnenfeld,Action Comedy Science Fiction,time travel time machine alien fictional government agency seeing the future changing history,time travel time machine alien fictional government agency seeing the future changing history Action Comedy Science Fiction Barry Sonnenfeld,  time travel time machin alien fiction govern agenc see the futur chang histori action comedi scienc fiction barri sonnenfeld
122917,en,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",2014-12-10,7.1,Peter Jackson,Action Adventure Fantasy,corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery,corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery Action Adventure Fantasy Peter Jackson,  corrupt elv dwarv orc hobbit dragon battl unlik friendship epic battl sword and sorceri action adventur fantasi peter jackson
1930,en,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",2012-06-27,6.5,Marc Webb,Action Adventure Fantasy,loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger,loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger Action Adventure Fantasy Marc Webb,  loss of father vigilant serum marvel comic scientif experi spider bite mask vigilant reboot super power genet engin social outcast duringcreditssting action adventur fantasi marc webb
20662,en,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",2010-05-12,6.2,Ridley Scott,Action Adventure,robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england,robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england Action Adventure Ridley Scott,  robin hood archer knight sherwood forest bow and arrow middl age mediev king of england action adventur ridley scott
57158,en,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",2013-12-11,7.6,Peter Jackson,Adventure Fantasy,elves dwarves orcs hobbit dragon wizard sword and sorcery,elves dwarves orcs hobbit dragon wizard sword and sorcery Adventure Fantasy Peter Jackson,  elv dwarv orc hobbit dragon wizard sword and sorceri adventur fantasi peter jackson
2268,en,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",2007-12-04,5.8,Chris Weitz,Adventure Fantasy,england compass experiment lordship uncle polar bear orphan animal based on young adult novel,england compass experiment lordship uncle polar bear orphan animal based on young adult novel Adventure Fantasy Chris Weitz,  england compass experi lordship uncl polar bear orphan anim base on young adult novel adventur fantasi chris weitz
254,en,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",2005-12-14,6.6,Peter Jackson,Adventure Drama Action,film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur,film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur Adventure Drama Action Peter Jackson,  film busi screenplay show busi film make film produc exot island monster indigen ship dinosaur adventur drama action peter jackson
597,en,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",1997-11-18,7.5,James Cameron,Drama Romance Thriller,shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s,shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s Drama Romance Thriller James Cameron,  shipwreck iceberg ship panic titan ocean liner epic rich woman poor man love disast tragic love class differ imax star cross lover steerag salvag rich snob drama romanc thriller jame cameron
271110,en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",2016-04-27,7.1,Anthony Russo,Adventure Action Science Fiction,civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d,civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d Adventure Action Science Fiction Anthony Russo,  civil war war marvel comic sequel superhero base on comic book imax aftercreditssting duringcreditssting marvel cinemat univers adventur action scienc fiction anthoni russo
44833,en,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",2012-04-11,5.5,Peter Berg,Thriller Action Adventure Science Fiction,fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri,fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri Thriller Action Adventure Science Fiction Peter Berg,  fight navi mind read hong kong soccer scientist fiction war naval armada battleship naval combat jds myoko lost communic taser buoy communic expert joint chief of staff crash land jet fighter pilot navi lieuten permiss to marri uss john paul jone base on board game aftercreditssting mighti mo uss missouri thriller action adventur scienc fiction peter berg
135397,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",2015-06-09,6.5,Colin Trevorrow,Action Adventure Science Fiction Thriller,monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror,monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror Action Adventure Science Fiction Thriller Colin Trevorrow,  monster dna tyrannosaurus rex velociraptor island sequel suspens disast escap dinosaur amus park anim attack theme park jurass park anim horror action adventur scienc fiction thriller colin trevorrow
37724,en,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",2012-10-25,6.9,Sam Mendes,Action Adventure Thriller,spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao,spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao Action Adventure Thriller Sam Mendes,  spi secret agent sociopath killer art galleri british secret servic istanbul turkey imax uzi boobi trap imperson a polic offic macao action adventur thriller sam mend
558,en,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",2004-06-25,6.7,Sam Raimi,Action Adventure Fantasy,dual identity love of one's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain,dual identity love of one's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain Action Adventure Fantasy Sam Raimi,  dual ident love of life pizza boy marvel comic sequel superhero doctor scientist tentacl death super villain action adventur fantasi sam raimi
68721,en,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",2013-04-18,6.8,Shane Black,Action Adventure Science Fiction,terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis,terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis Action Adventure Science Fiction Shane Black,  terrorist war on terror tennesse malibu marvel comic superhero base on comic book toni stark iron man aftercreditssting marvel cinemat univers mandarin war machin iron patriot extremi action adventur scienc fiction shane black
12155,en,Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",2010-03-03,6.4,Tim Burton,Family Fantasy Adventure,based on novel fictional place queen fantasy alice in wonderland fantasy world 3d,based on novel fictional place queen fantasy alice in wonderland fantasy world 3d Family Fantasy Adventure Tim Burton,  base on novel fiction place queen fantasi alic in wonderland fantasi world famili fantasi adventur tim burton
36668,en,X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",2006-05-24,6.3,Brett Ratner,Adventure Action Science Fiction Thriller,mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger,mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger Adventure Action Science Fiction Thriller Brett Ratner,  mutant marvel comic base on comic book superhuman beast cyclop aftercreditssting adventur action scienc fiction thriller brett ratner
62211,en,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,2013-06-20,7.0,Dan Scanlon,Animation Family,monster dormitory games animation best friend university scary aftercreditsstinger,monster dormitory games animation best friend university scary aftercreditsstinger Animation Family Dan Scanlon,  monster dormitori game anim best friend univers scari aftercreditssting anim famili dan scanlon
8373,en,Transformers: Revenge of the Fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",2009-06-19,6.0,Michael Bay,Science Fiction Action Adventure,egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger,egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger Science Fiction Action Adventure Michael Bay,  egypt sun chao symbol artifact transform tank robot imax duringcreditssting scienc fiction action adventur michael bay
91314,en,Transformers: Age of Extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",2014-06-25,5.8,Michael Bay,Science Fiction Action Adventure,sequel alien transformers giant robot robot imax transforming robot,sequel alien transformers giant robot robot imax transforming robot Science Fiction Action Adventure Michael Bay,  sequel alien transform giant robot robot imax transform robot scienc fiction action adventur michael bay
68728,en,Oz: The Great and Powerful,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",2013-03-07,5.7,Sam Raimi,Fantasy Adventure Family,circus witch magic hope illusion lost magic trick wizard 3d,circus witch magic hope illusion lost magic trick wizard 3d Fantasy Adventure Family Sam Raimi,  circus witch magic hope illus lost magic trick wizard fantasi adventur famili sam raimi
102382,en,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",2014-04-16,6.5,Marc Webb,Action Adventure Fantasy,obsession marvel comic sequel based on comic book electrocution medical experiment electricity super powers,obsession marvel comic sequel based on comic book electrocution medical experiment electricity super powers Action Adventure Fantasy Marc Webb,  obsess marvel comic sequel base on comic book electrocut medic experi electr super power action adventur fantasi marc webb
20526,en,TRON: Legacy,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",2010-12-10,6.3,Joseph Kosinski,Adventure Action Science Fiction,artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy,artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy Adventure Action Science Fiction Joseph Kosinski,  artifici intellig secret ident comput program dystopia comput decept duel motorcycl neon light autocraci adventur action scienc fiction joseph kosinski
49013,en,Cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,2011-06-11,5.8,John Lasseter,Animation Family Adventure Comedy,car race sequel comedy anthropomorphism best friend duringcreditsstinger,car race sequel comedy anthropomorphism best friend duringcreditsstinger Animation Family Adventure Comedy John Lasseter,  car race sequel comedi anthropomorph best friend duringcreditssting anim famili adventur comedi john lasset
44912,en,Green Lantern,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",2011-06-16,5.1,Martin Campbell,Adventure Action Thriller Science Fiction,dc comics transformation superhero alien alien infection magical object protector super powers origin 3d,dc comics transformation superhero alien alien infection magical object protector super powers origin 3d Adventure Action Thriller Science Fiction Martin Campbell,  dc comic transform superhero alien alien infect magic object protector super power origin adventur action thriller scienc fiction martin campbel
